Missing_Rule,MF RMSE,Ridge RMSE,MEAN RMSE,2Pass,No Pass
Q1_complete,0.0548,0.0556,0.0556,0.0530,0.0720
Q1_partial,0.0734,0.0622,0.0622,0.0545,0.0531
Q2_complete,0.0098,0.0020,0.0020,0.0195,0.0124
Q2_partial,0.0139,0.0028,0.0028,0.0298,0.0262
Q3_complete,0.0488,0.0273,0.0273,0.0145,0.0089
Q3_partial,0.0673,0.0376,0.0376,0.0118,0.0207
Q4_complete,0.0974,0.0683,0.0683,0.0635,0.0855
Q4_partial,0.0000,0.0000,0.0000,0.0000,0.0000
Q1_Q2_complete,0.0387,0.0386,0.0386,0.0491,0.0431
Q1_Q2_partial,0.0526,0.0438,0.0438,0.0714,0.0444
Q1_Q3_complete,0.0518,0.0435,0.0435,0.0676,0.0551
Q1_Q3_partial,0.0511,0.0433,0.0433,0.0432,0.0407
Q1_Q4_complete,0.0786,0.0621,0.0621,0.0580,0.0562
Q1_Q4_partial,0.0525,0.0444,0.0444,0.0442,0.0537
Q2_Q3_complete,0.0351,0.0193,0.0193,0.0287,0.0381
Q2_Q3_partial,0.0098,0.0020,0.0020,0.0269,0.0032
Q2_Q4_complete,0.0672,0.0469,0.0469,0.0618,0.0919
Q2_Q4_partial,0.0100,0.0020,0.0020,0.0050,0.0150
Q3_Q4_complete,0.0760,0.0511,0.0511,0.0771,0.0679
Q3_Q4_partial,0.0489,0.0274,0.0274,0.0028,0.0036
